,img_path,2_way_label,3_way_label,6_way_label
0,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bqmnjz.jpg,1.0,0.0,0.0
1,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\chf6dr.jpg,0.0,2.0,1.0
2,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfz6agn.jpg,0.0,2.0,4.0
3,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2zv8ld.jpg,1.0,0.0,0.0
4,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\co3t7t7.jpg,0.0,2.0,4.0
5,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9bdqbo.jpg,1.0,0.0,0.0
6,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dlkuie0.jpg,0.0,2.0,4.0
7,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1ft5zy.jpg,1.0,0.0,0.0
8,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d8chihm.jpg,0.0,2.0,4.0
9,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\63byur.jpg,0.0,2.0,2.0
10,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c2osbl.jpg,0.0,2.0,2.0
11,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d213c4.jpg,0.0,2.0,2.0
12,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bda0tm.jpg,1.0,0.0,0.0
13,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\rmjrm.jpg,0.0,2.0,2.0
14,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cgoywyg.jpg,0.0,2.0,4.0
15,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8udo8f.jpg,0.0,2.0,2.0
16,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dopela1.jpg,0.0,2.0,4.0
17,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7krhne.jpg,0.0,2.0,5.0
18,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b6bnyd.jpg,1.0,0.0,0.0
19,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8gkqai.jpg,0.0,2.0,1.0
20,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9asfd7.jpg,0.0,2.0,1.0
21,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ezvz3z3.jpg,0.0,2.0,4.0
22,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b658w2.jpg,1.0,0.0,0.0
23,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dgskhzq.jpg,0.0,2.0,4.0
24,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3kydvi.jpg,0.0,2.0,2.0
25,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1mq85w.jpg,1.0,0.0,0.0
26,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\73gbun.jpg,0.0,2.0,2.0
27,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bueeds.jpg,1.0,0.0,0.0
28,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bqfq59.jpg,1.0,0.0,0.0
29,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b6us72.jpg,1.0,0.0,0.0
30,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5gmoy6.jpg,0.0,2.0,5.0
31,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfehyfo.jpg,0.0,2.0,4.0
32,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ccs5w1j.jpg,0.0,2.0,4.0
33,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\clu0dhr.jpg,0.0,2.0,4.0
34,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c53zih.jpg,1.0,0.0,0.0
35,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfpsvn.jpg,0.0,2.0,1.0
36,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ctpoahx.jpg,0.0,2.0,4.0
37,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6kgds9.jpg,1.0,0.0,0.0
38,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ayw2ek.jpg,1.0,0.0,0.0
39,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8iboas.jpg,0.0,2.0,2.0
40,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cgvzze0.jpg,0.0,2.0,4.0
41,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c45kvhp.jpg,0.0,2.0,4.0
42,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2wkhqq.jpg,0.0,2.0,2.0
43,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\93sj4h.jpg,0.0,2.0,2.0
44,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bx4gyx.jpg,0.0,2.0,2.0
45,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ekfjxml.jpg,0.0,2.0,4.0
46,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\chggzps.jpg,0.0,2.0,4.0
47,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\djgwvoq.jpg,0.0,2.0,4.0
48,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7g448f.jpg,0.0,2.0,2.0
49,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c5mao47.jpg,0.0,2.0,4.0
50,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6ivh94.jpg,1.0,0.0,0.0
51,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\88n7nm.jpg,0.0,2.0,2.0
52,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7wg3jy.jpg,0.0,2.0,2.0
53,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5h0vjl.jpg,1.0,0.0,0.0
54,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5guyao.jpg,0.0,2.0,1.0
